rank;0-9;0-18;0-23;9-26;18-70;23-50;26-50;50+;70+
1;TTN;TTN;TTN;TP53;TP53;IDH1;IDH1;TP53;TP53
2;AHNAK2;TP53;TP53;ATRX;IDH1;TP53;TP53;PTEN;PTEN
3;TP53;AHNAK2;AHNAK2;IDH1;ATRX;ATRX;ATRX;TTN;TTN
4;AHNAK;H3F3A;AHNAK;TTN;PTEN;CIC;CIC;EGFR;TERT
5;H3F3A;AHNAK;H3F3A;AHNAK2;TTN;TTN;TTN;IDH1;EGFR
6;MUC17;FLG2;ATRX;H3F3A;TERT;TERT;TERT;NF1;NF1
7;MUC16;MUC17;FLG2;FLG2;EGFR;NOTCH1;PTEN;MUC16;PIK3R1
8;FLG2;MUC16;MUC17;NF1;CIC;PTEN;PIK3CA;PIK3CA;PIK3CA
9;PHLPP1;PHLPP1;MUC16;ERBB2;NF1;PIK3CA;NOTCH1;PIK3R1;MUC16
10;OBSCN;RAMP2;OBSCN;BRAF;PIK3CA;NF1;NF1;FLG;RB1
11;KMT2D;ATRX;NF1;RAMP2;MUC16;FUBP1;FUBP1;TERT;MUC17
12;SUSD2;KMT2D;RAMP2;MUC16;NOTCH1;EGFR;EGFR;CIC;PCLO
13;SOX1;OBSCN;KMT2D;AHNAK;PIK3R1;KMT2D;KMT2D;RYR2;RYR2
14;NF1;NF1;PHLPP1;MUC17;FUBP1;MUC16;MUC16;ATRX;IDH1
15;ATRX;BRAF;BRAF;CIC;KMT2D;SMARCA4;SMARCA4;RB1;FLG
16;KMT2C;SUSD2;IDH1;KMT2D;FLG;PIK3R1;PIK3R1;PCLO;USH2A
17;RAMP2;SOX1;KMT2C;TEX13D;RB1;ARID1A;ARID1A;SPTA1;CIC
18;SVIL;KMT2C;SUSD2;KMT2C;RYR2;RB1;RB1;LRP2;PDGFRA
19;MKI67;TEX13D;SOX1;CTNNB1;LRP1;BCOR;RYR2;MUC17;ATRX
20;ISM2;SVIL;TEX13D;PIK3CA;SMARCA4;NOTCH2;ATM;PKHD1;HMCN1
